File,Class,presence_of_liquid_content,material_texture,decorative_elements,context_of_use,shape_complexity,color_tone,visible_steam_or_heat_effects,presence_of_food_ingredients,vessel_opening_type,functional_vs_artistic_purpose,raw_llm_output
n07590611_371.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_390.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_45.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_528.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_535.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_548.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = not visible,decorative_elements = not visible,context_of_use = not visible,shape_complexity = not visible,color_tone = varied colors from food,visible_steam_or_heat_effects = not visible,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = not visible,functional_vs_artistic_purpose = not visible,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""not visible"", ""decorative_elements"": ""not visible"", ""context_of_use"": ""not visible"", ""shape_complexity"": ""not visible"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""not visible"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""not visible"", ""functional_vs_artistic_purpose"": ""not visible""}"
n07590611_569.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_573.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_585.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = decorated with patterns or sculptures,context_of_use = active cooking or food preparation,shape_complexity = complex shape with attachments,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""decorated with patterns or sculptures"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_60.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_77.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_87.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_95.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
